SHOW_ID,TITLE,TYPE,GENRE,RELEASE_DATE,RATING,DURATION,COUNTRY,DIRECTOR,CAST,DATE_ADDED,DESCRIPTION
s55,NIL,Movie,Documentary,,7.6,NIL,Spain,Jane Smith,"Actor B, Actor A, Actor F, Actor D",19-03-2003,"Love, betrayal, and drama unfold."
,,,Documentary,07-10-2008,4.8,135 min,France,Multiple Directors,"Actor A, Actor B",NIL,Based on true events.
s4695,Narcos,TV Show,Drama,11-02-2021,Not Rated,63 min,Canada,John Doe,Actor B,10-05-2021,An unexpected journey.
,,TV Show,Thriller,21-05-2011,4.4,NIL,Japan,Jane Smith,"Actor E, Actor B, Actor F, Actor D",29-06-2024,Based on true events.
s4363,Bird Box,,Crime,,4.6,133 min,India,NIL,"Actor C, Actor F, Actor E, Actor D, Actor B",NIL,"Love, betrayal, and drama unfold."
s1203,Money Heist,Movie,Drama,,NIL,3 Seasons,India,,"Actor B, Actor E, Actor A",26-04-2010,An unexpected journey.
,The Crown,Movie,Horror,15-01-2014,Not Rated,NIL,South Korea,NIL,,16-10-2006,
s1665,Breaking Bad,TV Show,Comedy,13-12-2004,8.7,112 min,Germany,NIL,Actor E,21-03-2024,NIL
s553,Wednesday,Movie,Documentary,,Not Rated,NIL,,NIL,"Actor C, Actor F, Actor E, Actor D",11-11-2019,NIL
s1861,Wednesday,TV Show,Thriller,21-09-2018,NIL,88 min,Japan,Jane Smith,"Actor D, Actor F, Actor C",NIL,"Love, betrayal, and drama unfold."
s1526,Bird Box,Movie,Sci-Fi,04-07-2002,4.1,113 min,India,,"Actor C, Actor E",,A thrilling story of survival.
s3410,The Crown,Movie,Crime,07-01-2010,,NIL,Germany,Jane Smith,"Actor F, Actor A",29-07-2016,A thrilling story of survival.
s1889,Narcos,TV Show,Crime,03-12-2005,Not Rated,114 min,India,NIL,"Actor C, Actor B, Actor A, Actor F, Actor E",20-08-2009,A thrilling story of survival.
,Lucifer,TV Show,Documentary,06-06-2000,5.9,180 min,South Korea,,Actor B,,An unexpected journey.
s480,The Crown,TV Show,Thriller,08-09-2008,Not Rated,NIL,France,John Doe,"Actor A, Actor E",27-05-2004,A thrilling story of survival.
s1486,Stranger Things,TV Show,Romance,20-10-2013,6.3,NIL,UK,Jane Smith,"Actor F, Actor B, Actor D, Actor E, Actor C",NIL,An unexpected journey.
s4497,The Night Agent,TV Show,Thriller,01-04-2002,NIL,3 Seasons,,Jane Smith,Actor B,13-04-2003,"Love, betrayal, and drama unfold."
s2977,Ozark,Movie,Drama,21-10-2024,7.4,NIL,India,NIL,"Actor C, Actor E, Actor F",13-08-2010,NIL
s755,Wednesday,Movie,Documentary,06-04-2009,,NIL,Spain,NIL,"Actor A, Actor D, Actor C, Actor B, Actor E",15-04-2019,NIL
s759,The Irishman,Movie,Romance,,NIL,6 Seasons,Japan,,"Actor E, Actor B",27-10-2006,"Love, betrayal, and drama unfold."
s2454,Peaky Blinders,TV Show,Romance,25-03-2022,NIL,NIL,UK,NIL,,,NIL
s3270,Dark,TV Show,Drama,06-10-2023,Not Rated,NIL,Germany,NIL,,12-09-2007,Based on true events.
s4756,The Night Agent,Movie,,12-02-2021,6.3,,Spain,Jane Smith,"Actor C, Actor D, Actor E, Actor F",15-09-2019,"Love, betrayal, and drama unfold."
s2856,Lucifer,,Crime,16-11-2015,5.1,NIL,,John Doe,"Actor D, Actor A, Actor B, Actor C",19-11-2024,NIL
s4113,The Witcher,Movie,Sci-Fi,21-01-2022,Not Rated,NIL,Spain,Jane Smith,"Actor D, Actor A",NIL,NIL
s1625,Black Mirror,TV Show,Thriller,07-11-2011,9.3,NIL,South Korea,Multiple Directors,Actor B,31-10-2014,A thrilling story of survival.
s500,Wednesday,TV Show,Romance,28-10-2017,7.4,NIL,Japan,Multiple Directors,"Actor C, Actor E, Actor D, Actor F, Actor B",NIL,
s3471,Breaking Bad,Movie,Romance,07-08-2021,NIL,81 min,India,Jane Smith,"Actor A, Actor F, Actor D",,NIL
s30,Ozark,Movie,,23-04-2009,,8 Seasons,Canada,Multiple Directors,"Actor D, Actor A, Actor B, Actor C, Actor F",23-10-2005,An unexpected journey.
s114,,Movie,Unknown/Thriller,01-12-2021,6.5,,USA,John Doe,"Actor A, Actor B, Actor C",13-04-2020,NIL
s1984,Dark,Movie,Documentary,25-11-2013,,NIL,,,"Actor E, Actor C, Actor D, Actor A",28-08-2006,NIL
s2858,The Crown,Movie,Action,,Not Rated,NIL,,John Doe,"Actor F, Actor E, Actor B, Actor C, Actor A",13-04-2001,NIL
s2383,Money Heist,Movie,Action,06-09-2011,NIL,78 min,South Korea,,"Actor E, Actor B",,Based on true events.
s2524,Wednesday,TV Show,Romance,09-01-2009,,NIL,South Korea,Jane Smith,"Actor C, Actor F",NIL,A thrilling story of survival.
s847,The Irishman,Movie,Comedy,,9.2,NIL,UK,Jane Smith,"Actor F, Actor C",15-08-2013,An unexpected journey.
